De;Nome;Area;Para;Nome;Area
7300;COLINA-TO500S;881;5437;RG-CO1CAP500;771
5510;B.ESPE-PI500S;771;5580;P.DUTR-MA500S;861
5679;PNBIII-PI500S;771;5684;BACAB--MA500S;861
299;SMESA2-GO500S;511;6444;R.EGUA-BA500S;701
6444;R.EGUA-BA500S;701;4349;ARINO2-MG500S;351
6220;IGAPOR-BA500S;701;4350;JANAU3-MG500S;351
6442;RE-LZ-CAP500;701;3050;LZ-RE-CAP500;511
6349;BJLAP2-BA500S;701;4350;JANAU3-MG500S;351
5501;TERESI-PI230S;772;5525;C.NETO-MA230S;862
5860;POCIII-BA500S;711;4351;PPARA2-MG500S;351
5580;P.DUTR-MA500S;861;5500;TERES2-PI500S;771
5679;PNBIII-PI500S;771;5684;BACAB--MA500S;861
6220;IGAPOR-BA500S;701;4350;JANAU3-MG500S;351
5860;POCIII-BA500S;711;4351;PPARA2-MG500S;351
5580;P.DUTR-MA500S;861;5500;TERES2-PI500S;771
7300;COLINA-TO500S;881;5575;RG-CO2CAP500;771
7200;MIRACE-TO500S;881;7190;GILBU2-PI500S;771
